#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.776357194	-0.436759347	0.454434572	0_1	 + 1	PD[];
-0.149217602	0.859750263	0.488429721	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.733580754	-0.437683616	0.519896461	0_1	 + 1	PD[];
0.915092606	0.0538308304	-0.399634539	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0312324289	-0.990355222	-0.134985439	0_1	 + 1	PD[];
0.835186867	-0.10731668	0.539394129	0_1	 + 1	PD[];
0.819682696	0.558496145	0.127288389	0_1	 + 1	PD[];
0.800812824	0.49805855	-0.332620657	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.292982525	-0.363654684	-0.884260432	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.312125125	-0.926717733	-0.209217947	0_1	 + 1	PD[];
0.435809013	-0.176626859	0.882538076	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.23926674	0.880246478	-0.409777458	0_1	 + 1	PD[];
-0.267850175	0.145196226	-0.952457001	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.514573872	-0.760497298	-0.39605251	0_1	 + 1	PD[];
-0.246488483	-0.306523817	-0.91939468	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.643492979	0.337112926	0.687220242	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0751582405	0.906149961	0.416225283	0_1	 + 1	PD[];
0.2614989	-0.657808516	-0.706332982	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.116419809	0.921864881	-0.369610024	0_1	 + 1	PD[];
-0.0254152849	0.998315345	0.0521587431	0_1	 + 1	PD[];
-0.609322728	0.0546439602	-0.7910372	0_1	 + 1	PD[];
0.437332082	0.881786789	-0.176614578	0_1	 + 1	PD[];
0.925474385	-0.120797434	-0.359033624	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.699308292	0.675111112	-0.23493169	0_1	 + 1	PD[];
-0.550513554	0.572115553	0.60796268	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.772681812	0.632011789	-0.0593625805	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
0.506857952	-0.696288639	-0.508209749	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.420497684	0.837211079	-0.349655983	0_1	 + 1	PD[];
-0.747288608	0.476499898	-0.463149634	0_1	 + 1	PD[];
0.324046762	0.387699209	0.862950183	0_1	 + 1	PD[];
-0.339958377	0.392076236	0.854812569	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0945373371	0.982336929	0.161483282	0_1	 + 1	PD[];
-0.404039346	0.0826065196	0.911004045	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.354684097	0.717748764	0.599196047	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0125739132	-0.777713932	-0.628492591	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[7,2,8,1],X[9,3,10,2],X[3,9,4,8],X[4,7,5,6]];
0.970691241	0.237450425	-0.037091915	0_1	 + 1	PD[];
0.983385756	0.181400363	0.00680901017	0_1	 + 1	PD[];
0.316461185	0.84294279	-0.435085936	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.282326343	0.246497952	0.927108729	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.0790140396	-0.879047954	0.470139847	0_1	 + 1	PD[];
-0.202445841	0.198001747	0.959067771	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.000928979449	-0.833312989	-0.552800687	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.774249229	0.00646310932	0.632847817	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.245295641	-0.328622593	0.912051117	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.869527429	0.28446828	0.403732396	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.531757591	0.662602823	-0.527438493	0_1	 + 1	PD[];
0.0405754702	-0.99117912	0.126164907	0_1	 + 1	PD[];
0.911915642	0.16739995	-0.374682691	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.485843858	-0.76829104	0.416754871	0_1	 + 1	PD[];
-0.151527371	-0.868860596	-0.471296849	0_1	 + 1	PD[];
-0.557841769	-0.826285602	0.077875955	0_1	 + 1	PD[];
-0.0476272167	-0.624527665	0.779549128	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.932843799	0.24679404	0.262478855	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.896919092	0.170845948	-0.407857578	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0320812109	-0.614821374	-0.788013625	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.0182244106	0.196462925	0.980341874	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.259194969	0.475632404	0.84059014	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.336234462	0.546663916	-0.76688001	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.29319584	-0.623827989	-0.724482463	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.536420349	0.571814935	0.620709988	0_1	 + 1	PD[];
-0.918546394	0.296372089	-0.261602957	0_1	 + 1	PD[];
0.842973973	-0.310121018	-0.439567782	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.637691338	0.371096615	-0.675008933	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.000506172499	0.808661273	-0.588274332	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.686494107	-0.59370297	-0.419812607	0_1	 + 1	PD[];
-0.10161118	0.473881963	-0.874706267	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.0701092842	0.221832874	-0.972560982	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.044945121	0.733973688	0.677689134	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.791716482	-0.56670881	-0.228092385	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.732565276	0.634800731	-0.245715585	0_1	 + 1	PD[];
-0.223264844	0.95068982	-0.215271169	0_1	 + 1	PD[];
-0.31104512	0.213283836	0.926153842	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.677750882	-0.727224955	-0.108616792	0_1	 + 1	PD[];
0.233569965	0.0374198022	-0.971619694	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.455897815	0.206223036	-0.86581132	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.563036045	0.826418807	-0.00472949632	0_1	 + 1	PD[];
0.694207749	0.670026231	-0.262945719	0_1	 + 1	PD[];
0.21935954	0.972987069	-0.0719552319	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.482142627	-0.477053215	0.734818833	0_1	 + 1	PD[];
-0.527465239	0.082232048	0.845587554	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.925901193	-0.376657067	-0.0289211744	0_1	 + 1	PD[];
0.157049385	0.74912724	-0.643540107	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.739706775	0.349558039	-0.575015708	0_1	 + 1	PD[];
-0.932253913	0.163928705	0.322536854	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0356206461	-0.501050125	0.86468488	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.756513662	0.64571207	-0.103648454	0_1	 + 1	PD[];
-0.112382417	-0.0319769043	-0.993150376	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.5647155	-0.821296386	0.081047216	0_1	 + 1	PD[];
-0.678940643	0.171516851	0.713877842	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.915996146	0.217200067	0.337305782	0_1	 + 1	PD[];
-0.789386948	0.0921086587	-0.606946654	0_1	 + 1	PD[];
-0.817765955	-0.0454017512	-0.573757373	0_1	 + 1	PD[];
-0.656650383	0.447081107	-0.607395059	0_1	 + 1	PD[];
-0.314923375	0.230092023	-0.920804501	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.457915398	-0.490859025	0.741195592	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.607258354	0.0521525409	0.792790896	0_1	 + 1	PD[];
0.103376575	-0.936750395	0.334382985	0_1	 + 1	PD[];
0.550706656	-0.390012342	-0.737978694	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.503660386	0.792462564	0.343990261	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.276315199	0.0978908078	-0.956068669	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.282269303	-0.87298061	0.397779959	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.369780431	-0.886838568	0.277091659	0_1	 + 1	PD[];
-0.0980740008	-0.788980164	0.606540841	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0336028685	-0.839415076	0.542451083	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.536564906	0.753910539	-0.379100253	0_1	 + 1	PD[];
0.642553476	0.765556401	-0.0323794102	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.827447004	0.053332335	-0.559005472	0_1	 + 1	PD[];
0.985728243	0.165727988	-0.0295645776	0_1	 + 1	PD[];
0.918772908	0.0512019911	0.391452041	0_1	 + 1	PD[];
0.798727741	-0.498100152	-0.33753553	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[2,1,3,0],X[1,4,2,3],X[6,5,7,4],X[5,8,6,7]];
-0.700448866	-0.600519388	0.385678429	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,2],X[2,1,3,0],X[4,7,5,6],X[7,6,8,5]];
-0.172752794	-0.974393073	-0.143925714	0_1	 + 1	PD[];
-0.12504632	-0.855835305	-0.501905716	0_1	 + 1	PD[];
-0.364982262	-0.294674677	-0.883150487	0_1	 + 1	PD[];
0.286244755	0.113552051	-0.951404158	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.958801777	0.281264831	-0.0398653713	0_1	 + 1	PD[];
0.0889039192	0.374071618	0.923128657	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.389437001	-0.228869789	0.89216447	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.503799579	0.0468613471	0.862548548	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.382541867	-0.222747655	0.896685676	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.556017123	-0.621282719	-0.552134713	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
-0.519374563	-0.849693947	0.09094097	0_1	 + 1	PD[];
0.505734991	-0.530958963	-0.679937275	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.158618986	0.887601286	-0.432439562	0_1	 + 1	PD[];
-0.885703487	0.338859321	0.317338453	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.820172166	-0.318287222	0.475405998	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.123397644	-0.978025688	-0.16804397	0_1	 + 1	PD[];
0.135546127	-0.466140173	0.874265742	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.699105653	-0.655302852	0.286058486	0_1	 + 1	PD[];
0.104095523	-0.957541401	-0.268846774	0_1	 + 1	PD[];
-0.231728093	-0.0330270712	-0.972219781	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.60751541	0.300924226	-0.735098386	0_1	 + 1	PD[];
0.0798854004	0.693416449	0.716094932	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.04089193	0.962053936	0.269777824	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.821307672	-0.465893723	-0.329236614	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[2,1,3,0],X[1,4,2,3],X[6,5,7,4],X[5,8,6,7]];
-0.957591108	0.0489506902	-0.28394207	0_1	 + 1	PD[];
-0.903860258	-0.35230033	0.242736713	0_1	 + 1	PD[];
-0.135981443	-0.909935372	-0.391824791	0_1	 + 1	PD[];
-0.627791175	-0.684320812	-0.370922185	0_1	 + 1	PD[];
0.669632254	-0.705214633	-0.23294842	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.747898702	0.516026013	-0.417569977	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.219176957	-0.219621239	-0.950646082	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.597361596	0.753250214	0.275269393	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.172826569	0.0405257719	-0.984118204	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.431494529	-0.878744769	0.204010054	0_1	 + 1	PD[];
0.779778044	-0.581534943	0.231869171	0_1	 + 1	PD[];
-0.0641020873	0.0793964639	0.994779937	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.226801921	0.92705495	0.298546492	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.587117174	0.614560122	-0.526886402	0_1	 + 1	PD[];
0.291221107	-0.0779602703	-0.953473892	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.453756026	0.781373692	-0.428439755	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.828118089	-0.294090539	0.477211887	0_1	 + 1	PD[];
-0.0248154909	0.1843984	0.982538254	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.929570473	0.0461069696	0.365749756	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.267630851	-0.913218192	0.30725602	0_1	 + 1	PD[];
-0.49321278	0.457828587	-0.739685162	0_1	 + 1	PD[];
-0.560740049	-0.827818491	0.0169452745	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.745434867	0.0212103879	-0.666240931	0_1	 + 1	PD[];
0.861039867	-0.362649921	0.356504394	0_1	 + 1	PD[];
0.113536648	0.580064529	-0.806619223	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.853696403	-0.351887516	-0.38389794	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0424945149	-0.988697814	0.143773605	0_1	 + 1	PD[];
0.393147504	-0.919112257	-0.0258398843	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.666962924	0.277026983	0.691676593	0_1	 + 1	PD[];
0.816925812	-0.515244103	-0.259144232	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[2,1,3,0],X[1,4,2,3],X[6,5,7,4],X[5,8,6,7]];
-0.973033214	-0.132094505	-0.189096287	0_1	 + 1	PD[];
0.190127032	-0.157630995	0.969022281	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.186394672	-0.353436339	0.916700486	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.707266384	0.281803875	-0.648352403	0_1	 + 1	PD[];
-0.101246408	-0.690432478	0.716276593	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.822697107	-0.0946365995	0.560547397	0_1	 + 1	PD[];
0.368215421	0.448152389	0.814602259	0_1	 + 1	PD[];
-0.795607858	-0.393933197	-0.460244252	0_1	 + 1	PD[];
0.129653023	0.178754997	-0.975313665	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.752517963	0.645903232	0.128552437	0_1	 + 1	PD[];
-0.351508177	-0.650770009	-0.673008467	0_1	 + 1	PD[];
0.0616124262	-0.712410492	-0.699053074	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.927453689	-0.373931714	-0.0021744268	0_1	 + 1	PD[];
-0.229257858	0.0111380596	-0.973301997	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.64738251	0.182857046	0.73990485	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.284838812	0.608007577	0.741076	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.58181388	0.812832073	0.0282246382	0_1	 + 1	PD[];
-0.0569368088	0.337573443	0.939575633	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.296347937	0.924423046	0.240041521	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.549030636	0.0263328334	-0.835387301	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0939643102	0.383173472	-0.91888454	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.0344945313	0.0425328789	-0.998499415	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.135226737	0.493876987	0.858952415	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.275481262	0.488374018	0.828010201	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.0484283152	0.840001892	0.540417911	0_1	 + 1	PD[];
-0.300350413	0.932318504	-0.20142452	0_1	 + 1	PD[];
-0.516809206	-0.855021751	-0.0429656785	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.889025342	-0.454312713	-0.0568673927	0_1	 + 1	PD[];
0.381959608	0.39161236	-0.837106097	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.117818446	-0.992588768	0.0297716646	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.102603811	-0.942374061	0.318439299	0_1	 + 1	PD[];
0.607109724	-0.454270719	-0.651963111	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.470703515	0.879646258	-0.0682690348	0_1	 + 1	PD[];
-0.235168856	-0.90759498	0.347803051	0_1	 + 1	PD[];
-0.726746389	0.636869186	0.257366132	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0814141992	0.96565131	-0.246757525	0_1	 + 1	PD[];
-0.792955233	0.192151658	-0.578186596	0_1	 + 1	PD[];
-0.63051066	0.723514392	0.281039556	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.890919197	0.104291744	0.442025132	0_1	 + 1	PD[];
-0.62675061	-0.473963168	0.618500274	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.688370214	0.656556086	-0.308351349	0_1	 + 1	PD[];
0.109267268	-0.678832972	-0.726117387	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.606440881	0.657813684	0.446666113	0_1	 + 1	PD[];
-0.526302142	0.849617433	-0.0340040028	0_1	 + 1	PD[];
-0.965334258	0.145191685	0.216908149	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.711038052	0.39478632	-0.581866522	0_1	 + 1	PD[];
-0.246470529	-0.806757598	0.537023702	0_1	 + 1	PD[];
0.215898721	-0.545723259	-0.809675161	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.20291805	-0.97467284	-0.0940059535	0_1	 + 1	PD[];
0.137435177	0.344170466	0.928793983	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.770727824	-0.571923734	-0.280859153	0_1	 + 1	PD[];
-0.584673903	0.30872573	0.750229865	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.471619248	0.324607814	0.819881121	0_1	 + 1	PD[];
0.273961794	-0.924019551	-0.26670734	0_1	 + 1	PD[];
0.118140179	-0.622219076	-0.773877458	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.805925439	-0.245696191	-0.538625629	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.757851055	-0.253475229	0.601175587	0_1	 + 1	PD[];
-0.584632376	-0.651493333	-0.483488803	0_1	 + 1	PD[];
-0.546738884	-0.812906816	-0.200646706	0_1	 + 1	PD[];
-0.405372231	0.463050792	0.788198781	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.774454441	0.532528829	0.341516273	0_1	 + 1	PD[];
-0.681922007	-0.446865286	-0.579045588	0_1	 + 1	PD[];
0.203245574	0.413196977	-0.887670826	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.512437924	-0.111747302	-0.851422289	0_1	 + 1	PD[];
-0.574348855	0.45322402	-0.681697426	0_1	 + 1	PD[];
0.680173175	-0.320686102	0.659185009	0_1	 + 1	PD[];
-0.383353659	0.590113006	-0.71049744	0_1	 + 1	PD[];
-0.171944192	0.143651618	0.974576527	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
