#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.0649905282	0.669975996	-0.739532552	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.410869142	0.732600306	-0.542663193	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.659815015	-0.738148227	0.140646154	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.229560817	0.303248785	0.924847018	0_1	 + 1	PD[];
-0.415570134	-0.745357089	-0.521290968	0_1	 + 1	PD[];
0.272665251	0.319469117	0.907520327	0_1	 + 1	PD[];
-0.59249845	0.785452603	0.178912816	0_1	 + 1	PD[];
0.664646462	-0.427235935	-0.612955575	0_1	 + 1	PD[];
-0.553281871	-0.615833695	0.560917134	0_1	 + 1	PD[];
0.00539147979	0.575438507	0.817827278	0_1	 + 1	PD[];
-0.597679056	0.796328899	0.0929517639	0_1	 + 1	PD[];
-0.836068238	0.359331404	-0.414573087	0_1	 + 1	PD[];
-0.22551584	0.624745801	-0.747552868	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.750877843	-0.212978383	0.625158118	0_1	 + 1	PD[];
0.305245915	-0.47749894	0.823905149	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.331182912	0.361224625	0.871684948	0_1	 + 1	PD[];
0.735996711	0.214126796	0.642229364	0_1	 + 1	PD[];
-0.163099505	-0.986588681	0.00642848294	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[3,1,4,0],X[4,11,5,10],X[6,12,7,11],X[2,9,3,10],X[8,1,9,2],X[7,6,8,5]];
-0.978642403	-0.147302259	0.143391391	0_1	 + 1	PD[];
-0.745593449	-0.569688399	0.345753578	0_1	 + 1	PD[];
-0.672019034	0.547467075	0.498668447	0_1	 + 1	PD[];
0.301649679	-0.5821333	0.755068402	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.659284942	0.751655991	-0.0188848521	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
-0.176770747	0.814932708	-0.551939113	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.798527695	0.320964242	-0.509249914	0_1	 + 1	PD[];
0.659491762	0.732463734	0.169019212	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.885868303	0.430334873	0.173347187	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.920431764	0.240743786	-0.307973697	0_1	 + 1	PD[];
-0.190002301	0.486464661	0.852790278	0_1	 + 1	PD[];
0.0128790294	-0.992572726	0.120969061	0_1	 + 1	PD[];
0.211711976	0.831030817	-0.514359621	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0135868818	0.773746012	-0.633350224	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.754713049	-0.13010882	-0.643024034	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.297080771	-0.94849533	-0.109998298	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[6,5,7,4],X[3,1,4,0],X[8,1,9,2],X[2,9,3,10],X[5,12,6,11],X[7,11,8,10]];
0.744145448	0.409185482	-0.52802916	0_1	 + 1	PD[];
-0.575801637	-0.739813021	0.34803616	0_1	 + 1	PD[];
-0.69426049	-0.221189799	0.684892287	0_1	 + 1	PD[];
-0.538291989	-0.75834705	-0.36762955	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,0,3,1],X[3,2,4,1],X[4,9,5,8],X[7,6,8,5],X[6,10,7,9]];
0.823312888	0.518806571	0.230207799	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.400417847	-0.445726633	0.800620582	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.902950501	0.400377392	-0.156135637	0_1	 + 1	PD[];
0.0332119243	-0.125804388	0.991498978	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
0.218410805	-0.694879035	-0.685156805	0_1	 + 1	PD[];
-0.827471001	0.520992397	-0.209424605	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.329078907	-0.940281842	-0.0870467173	0_1	 + 1	PD[];
0.785588516	-0.615684512	-0.061508256	0_1	 + 1	PD[];
0.220513781	0.91361262	-0.341592817	0_1	 + 1	PD[];
-0.128556125	-0.379290108	-0.916303627	0_1	 + 1	PD[];
-0.314142445	-0.482471939	0.817640112	0_1	 + 1	PD[];
0.927277612	0.318369371	-0.196969983	0_1	 + 1	PD[];
-0.669995781	-0.249265384	-0.69926563	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.437315896	-0.746708491	0.501179844	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.820318492	-0.504898401	-0.268617155	0_1	 + 1	PD[];
0.285580016	0.218017007	-0.933227003	0_1	 + 1	PD[];
0.225131823	-0.750724014	0.621070944	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.12319438	-0.512273943	-0.849940323	0_1	 + 1	PD[];
0.339057422	0.172545666	-0.924807038	0_1	 + 1	PD[];
0.735346207	0.300355792	0.607496793	0_1	 + 1	PD[];
0.874949429	-0.433485634	0.215763068	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.183150359	-0.931041243	-0.31562343	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1],X[4,7,5,6],X[5,7,6,8]];
0.545677481	0.543777511	-0.637606544	0_1	 + 1	PD[];
-0.738600336	0.633695152	-0.229999995	0_1	 + 1	PD[];
-0.0727591303	-0.888993551	0.452102394	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.214093604	-0.584234181	-0.782837372	0_1	 + 1	PD[];
0.274244835	-0.100785283	0.956363998	0_1	 + 1	PD[];
0.451734507	0.0790662494	-0.888641921	0_1	 + 1	PD[];
-0.339271614	-0.648121308	-0.681787021	0_1	 + 1	PD[];
0.179058091	-0.372343812	0.910658161	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.754976003	-0.646351819	0.110637072	0_1	 + 1	PD[];
-0.573108065	0.679664686	-0.457824267	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.687102342	-0.272621602	0.673474449	0_1	 + 1	PD[];
-0.0747172422	-0.723279968	-0.686500853	0_1	 + 1	PD[];
-0.0593370726	0.49915565	0.86447831	0_1	 + 1	PD[];
0.477951097	0.697273306	-0.53420285	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.6685968	0.232973842	0.706188011	0_1	 + 1	PD[];
-0.280307347	-0.813753102	-0.509149958	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.125779891	-0.800967396	-0.585346606	0_1	 + 1	PD[];
0.748907723	-0.526970926	0.401794557	0_1	 + 1	PD[];
-0.751427769	0.284843997	0.595164015	0_1	 + 1	PD[];
-0.392889086	0.623815097	-0.675642576	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.0107389563	-0.913803797	-0.406013911	0_1	 + 1	PD[];
0.795229248	-0.393182718	-0.461538506	0_1	 + 1	PD[];
-0.734083705	0.226148499	0.640295221	0_1	 + 1	PD[];
0.254117833	-0.0532778801	0.965704714	0_1	 + 1	PD[];
-0.267233959	0.930694376	0.249787888	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.960114482	0.179456297	-0.214419259	0_1	 + 1	PD[];
-0.332149985	0.378175391	0.864094764	0_1	 + 1	PD[];
-0.79183679	-0.0926427298	-0.603665323	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.357072664	-0.920318676	0.159726787	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.148390555	-0.0217485051	-0.988689661	0_1	 + 1	PD[];
-0.884318028	0.159053839	-0.438957288	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.0663187218	-0.683818522	-0.726631995	0_1	 + 1	PD[];
0.0269652783	0.789095949	0.613677812	0_1	 + 1	PD[];
0.0780436213	0.167757738	0.982734214	0_1	 + 1	PD[];
0.279350443	0.312551508	0.907895856	0_1	 + 1	PD[];
-0.181728168	-0.855522736	-0.484825455	0_1	 + 1	PD[];
0.328937919	0.649329044	-0.685690629	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.714845159	-0.696426224	-0.0631420095	0_1	 + 1	PD[];
-0.924898138	0.379516358	-0.0230384106	0_1	 + 1	PD[];
0.664351718	0.295032213	-0.686726138	0_1	 + 1	PD[];
-0.127631681	0.659895445	0.740437814	0_1	 + 1	PD[];
0.878510083	0.450622342	0.158617586	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.0169356878	-0.596662407	0.802313626	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.917653363	0.385005079	0.0984042375	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.773750003	-0.621252255	0.123921624	0_1	 + 1	PD[];
0.957947897	0.183941288	0.220230401	0_1	 + 1	PD[];
0.462036827	-0.685912841	-0.562179281	0_1	 + 1	PD[];
0.177493992	0.943137734	0.281046433	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,10,1,11],X[1,9,2,8],X[2,14,3,15],X[15,3,16,4],X[5,12,6,11],X[12,7,13,6],X[4,7,5,8],X[17,9,18,10],X[16,14,17,13]];
-0.370128585	-0.300293703	0.879106662	0_1	 + 1	PD[];
0.487140702	-0.313777646	0.815007684	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.539946639	-0.48403176	0.688600669	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.974118682	0.0669512097	0.215894252	0_1	 + 1	PD[];
-0.353346725	0.0876825523	0.931374179	0_1	 + 1	PD[];
-0.538109409	0.140918261	-0.831011617	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[8,1,9,0],X[7,10,8,9],X[6,2,7,1],X[5,4,6,3],X[4,12,5,11],X[2,11,3,10]];
0.74464856	-0.132458952	0.654181281	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,7,1,6],X[7,2,8,1],X[2,9,3,8],X[3,5,4,6],X[9,4,10,5]];
0.916552656	-0.0401737998	0.397891059	5_22s|5_22m	 - A^(-12) - A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) - 2*A^(-2) - 1 + A^(4)	PD[X[2,6,3,5],X[8,4,9,5],X[11,7,12,6],X[9,1,10,0],X[3,7,4,8],X[1,11,2,10]];
-0.95019788	0.30995924	-0.032392269	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.507941859	0.302500063	-0.806528846	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.984180752	0.17673359	-0.0123889283	0_1	 + 1	PD[];
0.367039539	-0.254995748	0.894572046	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0642937561	0.430425418	-0.900333423	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.632545614	-0.216575429	-0.74362701	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.113866402	0.308964079	0.944232832	0_1	 + 1	PD[];
-0.109125859	-0.841182134	-0.529626438	0_1	 + 1	PD[];
-0.810025512	-0.102262604	-0.577408893	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.922634046	-0.242323185	-0.30004315	0_1	 + 1	PD[];
-0.220624599	0.68012642	-0.699108603	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.847120357	-0.199189727	0.492656628	0_1	 + 1	PD[];
0.420696081	0.136390579	0.896890415	0_1	 + 1	PD[];
-0.527829085	0.651615522	0.544787728	0_1	 + 1	PD[];
0.963944157	0.237334978	0.120348538	0_1	 + 1	PD[];
0.595157222	0.766217678	0.242277427	0_1	 + 1	PD[];
0.857560548	-0.236090127	-0.45700258	0_1	 + 1	PD[];
-0.101966472	-0.715166312	0.691476669	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.578693172	0.467151895	0.668493321	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.768057416	0.032861298	0.639537286	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.489868192	-0.0457646116	0.870594483	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.923463984	-0.363565616	0.122614488	0_1	 + 1	PD[];
0.838324693	-0.0750927425	-0.539974804	0_1	 + 1	PD[];
-0.772970192	0.625686298	0.105041599	0_1	 + 1	PD[];
-0.624978381	0.576916014	0.525899169	0_1	 + 1	PD[];
-0.20464796	0.664787827	-0.718454144	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.167271621	0.352349635	0.920798534	0_1	 + 1	PD[];
-0.130652179	-0.987501616	0.0881508151	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[3,1,4,2],X[6,5,7,4],X[5,8,6,7]];
-0.533231308	-0.581521972	0.614407493	0_1	 + 1	PD[];
0.970249355	-0.0607235935	0.234369012	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,6],X[4,1,5,2],X[6,3,7,2],X[3,8,4,7]];
-0.28303844	-0.955367587	-0.0846286896	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[6,1,7,0],X[9,2,10,3],X[4,2,5,1],X[3,10,4,11],X[8,12,9,11],X[5,8,6,7]];
-0.885330722	-0.270177436	0.37840939	0_1	 + 1	PD[];
-0.832055601	-0.260375483	-0.489783712	5_22s|5_22m	 - A^(-12) - A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) - 2*A^(-2) - 1 + A^(4)	PD[X[11,1,12,0],X[1,11,2,10],X[5,3,6,2],X[7,3,8,4],X[4,8,5,9],X[6,14,7,13],X[12,10,13,9]];
0.652811244	-0.731019626	0.198614669	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.666636325	-0.660588096	-0.345281593	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.455702646	0.889025542	-0.0443698512	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
-0.395096445	0.735060835	-0.550984908	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.794251345	0.519288062	-0.315443671	0_1	 + 1	PD[];
0.870398424	-0.471687088	-0.141130701	0_1	 + 1	PD[];
0.127258562	0.289664932	0.948630321	0_1	 + 1	PD[];
0.846610648	0.52155642	-0.105968441	0_1	 + 1	PD[];
-0.124186691	0.714261828	0.688772609	0_1	 + 1	PD[];
0.0085076961	-0.535898417	-0.844239602	0_1	 + 1	PD[];
-0.429568408	-0.467143529	-0.772818158	0_1	 + 1	PD[];
-0.191430204	0.138274157	-0.971717415	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.301832641	0.18688282	0.934864626	0_1	 + 1	PD[];
-0.697329265	0.47868657	0.533470771	0_1	 + 1	PD[];
-0.754354992	-0.588657982	-0.29056897	2_1s*3_2s|2_1s*3_2m|2_1m*3_2s|2_1m*3_2m	 - A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - 3*A^(-2) - 1 + A^(2) + A^(4)	PD[X[0,10,1,9],X[4,2,5,1],X[5,12,6,11],X[6,2,7,3],X[3,7,4,8],X[10,9,11,8]];
-0.585139453	0.192837334	0.787670987	0_1	 + 1	PD[];
0.690915956	-0.393487181	0.606467625	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.574882501	0.722029677	0.384945783	0_1	 + 1	PD[];
-0.493391642	-0.194983536	0.847670991	0_1	 + 1	PD[];
0.53374403	0.0556087554	0.843815724	0_1	 + 1	PD[];
-0.924603744	-0.351454798	-0.146926656	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.735051347	-0.526964272	-0.426624159	0_1	 + 1	PD[];
0.647954082	-0.74925949	0.136988046	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.69239725	0.400175624	-0.60037115	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.174042365	-0.896944748	-0.406447258	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.176785484	-0.565733847	-0.805414246	0_1	 + 1	PD[];
-0.607043069	0.583878849	0.539058626	0_1	 + 1	PD[];
0.649489543	-0.108695904	0.752561315	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.842373949	0.136556382	-0.521304599	0_1	 + 1	PD[];
0.705922411	-0.0447074409	0.706876788	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.43882625	0.071677051	0.895708615	0_1	 + 1	PD[];
-0.539369388	-0.750296584	-0.382276992	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.113185578	0.954347458	-0.276423506	0_1	 + 1	PD[];
-0.727597665	-0.573068585	-0.377086242	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.844242744	-0.517082602	-0.140995649	0_1	 + 1	PD[];
0.544574224	-0.836080339	0.0663971468	0_1	 + 1	PD[];
-0.741857127	0.670231167	-0.020932904	0_1	 + 1	PD[];
0.971861107	0.0478229043	-0.230648993	0_1	 + 1	PD[];
0.373297029	0.432762047	-0.820589019	0_1	 + 1	PD[];
-0.808009638	-0.117067686	0.577421494	0_1	 + 1	PD[];
0.174370485	-0.704615043	0.687831793	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0607439155	-0.777033985	0.62652084	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.119833843	0.751650566	-0.648584055	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0835035031	0.973712804	0.211921071	0_1	 + 1	PD[];
0.22700336	-0.973550491	-0.0258634216	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[2,0,3,1],X[1,3,2,4]];
-0.464345948	0.698813776	-0.544097553	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.523318628	-0.820437579	-0.23026027	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[3,1,4,0],X[8,1,9,2],X[2,9,3,10],X[4,11,5,10],X[7,6,8,5],X[6,12,7,11]];
-0.218740213	-0.186690628	-0.957757448	0_1	 + 1	PD[];
-0.3178942	0.614828874	-0.721753929	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.674406319	0.735192309	-0.0683255922	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.00718720308	0.100149056	-0.994946486	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
-0.554979675	-0.827996036	-0.0801256737	2_1s*3_2s|2_1s*3_2m|2_1m*3_2s|2_1m*3_2m	 - A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - 3*A^(-2) - 1 + A^(2) + A^(4)	PD[X[4,2,5,1],X[3,7,4,8],X[6,2,7,3],X[0,10,1,9],X[5,12,6,11],X[10,9,11,8]];
0.214008657	-0.883729958	0.416199058	0_1	 + 1	PD[];
0.160355086	-0.886342057	-0.434377721	0_1	 + 1	PD[];
-0.256688091	0.966322127	0.0182420122	0_1	 + 1	PD[];
0.296763577	-0.941579701	0.159245237	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.107867028	-0.982159965	0.154034111	0_1	 + 1	PD[];
0.821985813	-0.56309425	-0.0852302052	0_1	 + 1	PD[];
-0.805062143	0.37244559	0.461691704	0_1	 + 1	PD[];
0.2816715	-0.92294702	-0.262354655	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.694584839	-0.561693945	-0.44950174	0_1	 + 1	PD[];
-0.245685195	0.549411918	0.798614631	0_1	 + 1	PD[];
0.215904809	-0.901887054	0.374145499	0_1	 + 1	PD[];
0.604619805	0.367582783	0.706624221	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.074354976	0.996301009	-0.0430771085	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[0,7,1,6],X[1,5,2,4],X[9,2,10,3],X[7,6,8,5],X[3,8,4,9]];
0.548991299	0.509517006	0.662571486	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.312289386	-0.932671739	-0.180551285	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.27113734	-0.580257867	-0.767974838	0_1	 + 1	PD[];
0.601173429	-0.756119387	0.258600039	0_1	 + 1	PD[];
-0.200265777	0.172366762	-0.964460117	0_1	 + 1	PD[];
-0.676604977	0.734002471	0.0587032982	0_1	 + 1	PD[];
0.256982951	0.915097309	0.310735704	0_1	 + 1	PD[];
-0.361476784	-0.627779425	-0.689367484	0_1	 + 1	PD[];
-0.104968989	-0.658358066	-0.745349695	0_1	 + 1	PD[];
-0.731959589	-0.612631563	-0.298190757	2_1s*3_2s|2_1s*3_2m|2_1m*3_2s|2_1m*3_2m	 - A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - 3*A^(-2) - 1 + A^(2) + A^(4)	PD[X[0,10,1,9],X[4,2,5,1],X[5,12,6,11],X[3,7,4,8],X[6,2,7,3],X[10,9,11,8]];
0.528177592	-0.842925929	-0.102490537	0_1	 + 1	PD[];
-0.797209173	-0.258538004	-0.545541598	2_1s*3_2s|2_1s*3_2m|2_1m*3_2s|2_1m*3_2m	 - A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - 3*A^(-2) - 1 + A^(2) + A^(4)	PD[X[3,1,4,0],X[9,8,10,7],X[1,5,2,6],X[6,9,7,8],X[4,2,5,3]];
-0.485682267	-0.318874306	0.813899203	0_1	 + 1	PD[];
-0.127514223	0.989297153	0.0709314123	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[3,1,4,2],X[0,2,1,3]];
0.00334833151	0.860588706	-0.509289572	0_1	 + 1	PD[];
0.685443882	-0.708220312	0.169087772	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.00907315837	0.0399229925	-0.999161565	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.114074487	-0.483742718	0.867744199	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0994828957	0.285082313	-0.953326402	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.97842149	0.152054903	-0.139895296	0_1	 + 1	PD[];
-0.981874153	-0.0865539083	-0.16861663	0_1	 + 1	PD[];
0.0765854464	0.0589651959	0.995317927	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
-0.762038879	-0.619493412	-0.188479863	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.531805391	0.547981535	-0.645677368	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.392024553	0.589117257	0.706581635	0_1	 + 1	PD[];
-0.696177492	-0.706350921	-0.128083081	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[2,0,3,1],X[1,3,2,4]];
0.305908247	-0.622540693	-0.720321616	0_1	 + 1	PD[];
0.784201176	-0.359210196	0.505961017	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[5,1,6,0],X[1,3,2,4],X[2,8,3,7],X[6,4,7,5]];
-0.690824277	0.00431594842	0.723009814	0_1	 + 1	PD[];
